CO_CURSO|NO_CURSO
20252|COMUNICAÇÃO SOCIAL - RELAÇÕES PÚBLICAS
27733|LETRAS - LÍNGUA E LITERATURA INGLESA
33083|LETRAS - LÍNGUA E LITERATURA FRANCESA
34646|LETRAS - LÍNGUA E LITERATURA PORTUGUESA
62484|CIÊNCIA DA COMPUTAÇÃO
62486|MÚSICA
62512|ARTES VISUAIS
65424|ZOOTECNIA
65426|LETRAS - LÍNGUA E LITERATURA ESPANHOLA
84288|ENGENHARIA DA COMPUTAÇÃO
84526|ENGENHARIA DE PRODUÇÃO
101606|LETRAS - PORTUGUÊS E ESPANHOL
101608|ADMINISTRAÇÃO
101610|CIÊNCIAS AGRÁRIAS E DO AMBIENTE
101612|ANTROPOLOGIA
101614|PEDAGOGIA
101618|CIÊNCIAS - QUÍMICA E BIOLOGIA
101620|AGRONOMIA
101622|ENGENHARIA AMBIENTAL
101637|CIÊNCIAS - QUÍMICA E BIOLOGIA
101639|PEDAGOGIA
101641|LETRAS - PORTUGUÊS E INGLÊS
101643|CIÊNCIAS - MATEMÁTICA E FÍSICA
101645|NUTRIÇÃO
101647|BIOTECNOLOGIA
101651|FISIOTERAPIA
101653|ENFERMAGEM
101655|CIÊNCIAS - MATEMÁTICA E FÍSICA
101659|CIÊNCIAS - QUÍMICA E BIOLOGIA
104364|EDUCAÇÃO FÍSICA - TREINAMENTO ESPORTIVO
104366|EDUCAÇÃO FÍSICA - PROMOÇÃO EM SAÚDE E LAZER
104368|CIÊNCIAS BIOLÓGICAS
112086|SISTEMA DE INFORMAÇÃO
112088|ENGENHARIA DE PRODUÇÃO
112090|FARMÁCIA
112092|QUÍMICA INDUSTRIAL
112094|CIÊNCIAS - QUÍMICA E BIOLOGIA
112096|CIÊNCIAS - MATEMÁTICA E FÍSICA
112098|SERVIÇO SOCIAL
112100|PEDAGOGIA
112102|EDUCAÇÃO FÍSICA
112104|COMUNICAÇÃO SOCIAL - JORNALISMO
112106|ADMINISTRAÇÃO
112108|ZOOTECNIA
112118|CIÊNCIAS AGRÁRIAS
112126|ARTES VISUAIS
112290|FISIOTERAPIA
116832|DESIGN
118408|ENGENHARIA ELÉTRICA - TELECOMUNICAÇÕES
118410|ENGENHARIA ELÉTRICA - ELETROTÉCNICA
118412|ENGENHARIA ELÉTRICA - ELETRÔNICA
122002|EDUCAÇÃO FÍSICA
122628|ENGENHARIA MECÂNICA
122630|ENGENHARIA DE MATERIAIS
122632|BIOTECNOLOGIA
122634|ENGENHARIA DE SOFTWARE
122636|ARQUIVOLOGIA
122640|ARQUITETURA E URBANISMO
122642|ENGENHARIA DE PETRÓLEO E GÁS
122644|ENGENHARIA QUÍMICA
300379|MATEMÁTICA
300403|GEOGRAFIA
1103469|ARTES VISUAIS
1104306|ADMINISTRAÇÃO
1106983|QUÍMICA
1106984|FÍSICA
1110779|CIÊNCIAS BIOLÓGICAS
1128322|LETRAS - LÍNGUA E LITERATURA JAPONESA
1158678|ENGENHARIA DE SOFTWARE
1167036|ENGENHARIA DE ALIMENTOS
1167330|AGRONOMIA
1171749|ENGENHARIA SANITÁRIA
1179494|FORMAÇÃO DE PROFESSORES INDÍGENAS
1183006|ADMINISTRAÇÃO PÚBLICA
1202516|LICENCIATURA INDÍGENA POLÍTICAS EDUCACIONAIS E DESENVOLVIMENTO SUSTENTÁVEL
1270121|LETRAS - LIBRAS
5000500|MATEMÁTICA APLICADA
5001406|MEDICINA
484|MEDICINA
485|ODONTOLOGIA
486|ENFERMAGEM
487|EDUCAÇÃO FÍSICA
488|NUTRIÇÃO
490|CIÊNCIAS CONTÁBEIS
491|DIREITO
492|CIÊNCIAS ECONÔMICAS
494|HISTÓRIA
495|GEOGRAFIA
496|FILOSOFIA
497|SERVIÇO SOCIAL
498|CIÊNCIAS SOCIAIS
499|ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA
500|ADMINISTRAÇÃO
501|CIÊNCIAS CONTÁBEIS
502|CIÊNCIAS ECONÔMICAS
504|MEDICINA VETERINÁRIA
508|ENGENHARIA AGRONÔMICA
512|ENGENHARIA CIVIL
513|CIÊNCIA DA COMPUTAÇÃO
516|FARMÁCIA
517|ARQUITETURA E URBANISMO
518|FÍSICA
519|QUÍMICA
520|MATEMÁTICA
525|CIÊNCIAS BIOLÓGICAS
18373|ADMINISTRAÇÃO
22128|LETRAS - PORTUGUÊS E FRANCÊS
22129|JORNALISMO
32832|LETRAS - LÍNGUA PORTUGUESA
33221|PEDAGOGIA
56030|LETRAS - INGLÊS
73192|PEDAGOGIA
94086|LETRAS - PORTUGUÊS
99714|CIÊNCIAS BIOLÓGICAS
99718|ENGENHARIA FLORESTAL
99722|ZOOTECNIA
99728|CIÊNCIAS BIOLÓGICAS
99738|ENGENHARIA DE PESCA
99860|CIÊNCIAS BIOLÓGICAS
99864|ENFERMAGEM
99870|ADMINISTRAÇÃO
99916|ENGENHARIA AGRONÔMICA
99921|TURISMO
102530|PSICOLOGIA
102564|FISIOTERAPIA
102566|BIOMEDICINA
102576|MATEMÁTICA
102580|NUTRIÇÃO
102588|MATEMÁTICA
102590|SISTEMAS DE INFORMAÇÃO
102675|MEDICINA VETERINÁRIA
104018|HISTÓRIA
104156|PEDAGOGIA
104726|PEDAGOGIA
108006|ADMINISTRAÇÃO
108660|SISTEMAS DE INFORMAÇÃO
109356|MATEMÁTICA
109358|FÍSICA
109386|QUÍMICA
109390|CIÊNCIAS BIOLÓGICAS
109394|FILOSOFIA
112454|ARQUEOLOGIA
116402|ESTATÍSTICA
116404|MODA, DESIGN E ESTILISMO
116406|ENGENHARIA DE PRODUÇÃO
116408|ENGENHARIA ELÉTRICA
116410|ENGENHARIA MECÂNICA
116632|ENFERMAGEM
116638|CIÊNCIAS BIOLÓGICAS
116640|ADMINISTRAÇÃO
116642|PEDAGOGIA
123498|ADMINISTRAÇÃO PÚBLICA
300518|FÍSICA
300520|MATEMÁTICA
1105124|MÚSICA
1105133|ARTES VISUAIS
1105789|CIÊNCIAS BIOLÓGICAS
1105815|CIÊNCIAS SOCIAIS
1105825|HISTÓRIA
1105828|QUÍMICA
1105897|CIÊNCIAS BIOLÓGICAS
1154629|CIÊNCIA POLÍTICA
1178392|ENGENHARIA DE MATERIAIS
1186923|LETRAS - INGLÊS
1188908|CIÊNCIAS DA NATUREZA
1202553|MEDICINA
1270463|LETRAS - PORTUGUÊS
1270583|LETRAS - LIBRAS
1270584|EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA
1270592|EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA
1270636|EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA
1270649|EDUCAÇÃO DO CAMPO - CIÊNCIAS HUMANAS E SOCIAIS
1305529|HISTÓRIA
1305536|CIÊNCIAS DA NATUREZA
1305546|GEOGRAFIA
1305552|COMPUTAÇÃO E INFORMÁTICA
1342610|MEDICINA
1475874|ZOOTECNIA
586|ENGENHARIA CIVIL
587|ENGENHARIA DE MINAS
588|ENGENHARIA GEOLÓGICA
589|ENGENHARIA METALÚRGICA
590|FARMÁCIA
591|NUTRIÇÃO
592|HISTÓRIA
593|LETRAS
594|CIÊNCIA DA COMPUTAÇÃO
595|FILOSOFIA
596|DIREITO
18875|ENGENHARIA DE PRODUÇÃO
18876|CIÊNCIAS BIOLÓGICAS
18877|MATEMÁTICA
21157|ARTES CÊNICAS
21158|MÚSICA
21159|QUÍMICA INDUSTRIAL
21160|FÍSICA
41612|ARTES CÊNICAS
41622|TURISMO
41624|ENGENHARIA AMBIENTAL
41626|ENGENHARIA DE CONTROLE E AUTOMAÇÃO
61560|ENGENHARIA DE PRODUÇÃO
80779|SISTEMAS DE INFORMAÇÃO
103596|MEDICINA
111502|ADMINISTRAÇÃO PÚBLICA
111504|PEDAGOGIA
111506|MATEMÁTICA
112592|QUÍMICA
112594|ADMINISTRAÇÃO
112596|ARQUITETURA E URBANISMO
112598|JORNALISMO
112600|EDUCAÇÃO FÍSICA
112602|ESTATÍSTICA
112604|MUSEOLOGIA
112606|PEDAGOGIA
121650|CIÊNCIA E TECNOLOGIA DE ALIMENTOS
121665|ENGENHARIA MECÂNICA
121669|SERVIÇO SOCIAL
121677|CIÊNCIAS ECONÔMICAS
121679|ENGENHARIA DE COMPUTAÇÃO
121681|ENGENHARIA ELÉTRICA
300592|HISTÓRIA
300593|LETRAS
300595|FILOSOFIA
318876|CIÊNCIAS BIOLÓGICAS
318877|MATEMÁTICA
1083188|EDUCAÇÃO FÍSICA
1168454|FÍSICA
1177731|GEOGRAFIA
1404130|ENGENHARIA URBANA
1484985|LETRAS - ESTUDOS LITERÁRIOS
1484987|LETRAS - TRADUÇÃO
1484989|LETRAS - INGLÊS
1484990|LETRAS - PORTUGUÊS
614|CIÊNCIA DA COMPUTAÇÃO
615|ENGENHARIA CIVIL
616|ENGENHARIA DE MATERIAIS
619|ENGENHARIA QUÍMICA
621|CIÊNCIAS BIOLÓGICAS
622|ESTATÍSTICA
623|FÍSICA
624|MATEMÁTICA
626|ENFERMAGEM
627|FISIOTERAPIA
628|TERAPIA OCUPACIONAL
630|CIÊNCIAS SOCIAIS
631|ENGENHARIA DE COMPUTAÇÃO
632|ENGENHARIA AGRONÔMICA
634|BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO
635|EDUCAÇÃO FÍSICA
637|MATEMÁTICA
639|IMAGEM E SOM
29672|LETRAS - ESPANHOL
31302|LETRAS - INGLÊS
45108|ENGENHARIA FÍSICA
45111|QUÍMICA
81283|MÚSICA
87564|ENGENHARIA DE PRODUÇÃO
90091|MEDICINA
96401|CIÊNCIAS BIOLÓGICAS
96403|CIÊNCIAS BIOLÓGICAS
96405|TURISMO
96407|ENGENHARIA DE PRODUÇÃO
96436|ENGENHARIA FLORESTAL
96779|BIOTECNOLOGIA
99189|FILOSOFIA
108016|SISTEMAS DE INFORMAÇÃO
109341|PRODUÇÃO SUCROALCOOLEIRA
109343|EDUCAÇÃO MUSICAL
109353|PEDAGOGIA
109378|ENGENHARIA AMBIENTAL
109478|PSICOLOGIA
112676|CIÊNCIAS ECONÔMICAS
112680|CIÊNCIA DA COMPUTAÇÃO
115070|FÍSICA
115074|EDUCAÇÃO ESPECIAL
115076|PEDAGOGIA
115078|CIÊNCIAS BIOLÓGICAS
115080|GEOGRAFIA
115082|LINGUÍSTICA
115084|ADMINISTRAÇÃO
115086|MATEMÁTICA
115088|FÍSICA
115092|QUÍMICA
115096|CIÊNCIAS BIOLÓGICAS
115098|QUÍMICA
115100|FÍSICA
115102|AGROECOLOGIA
115104|BIOTECNOLOGIA
115106|ENGENHARIA MECÂNICA
115108|GESTÃO E ANÁLISE AMBIENTAL
115110|ENGENHARIA ELÉTRICA
115112|GERONTOLOGIA
115558|PEDAGOGIA
300621|CIÊNCIAS BIOLÓGICAS
300623|FÍSICA
300624|MATEMÁTICA
300625|QUÍMICA
300635|EDUCAÇÃO FÍSICA
300637|MATEMÁTICA
399189|FILOSOFIA
1270499|ENGENHARIA DE ALIMENTOS
1270501|ENGENHARIA AMBIENTAL
1270505|ENGENHARIA AGRONÔMICA
1305952|TRADUÇÃO E INTERPRETAÇÃO EM LÍNGUA BRASILEIRA DE SINAIS - LIBRAS/LÍNGUA PORTUGUESA
1322704|CIÊNCIAS BIOLÓGICAS
1322751|ADMINISTRAÇÃO
5000589|ABI - MATEMÁTICA
5000590|ABI - FILOSOFIA
5000889|ABI - FÍSICA
682|ENGENHARIA DE AGRIMENSURA E CARTOGRÁFICA
683|ADMINISTRAÇÃO
684|CIÊNCIAS BIOLÓGICAS
685|AGRONOMIA
686|CIÊNCIAS ECONÔMICAS
687|EDUCAÇÃO FÍSICA
688|ECONOMIA DOMÉSTICA
689|ENGENHARIA CIVIL
691|ENGENHARIA DE ALIMENTOS
692|ENGENHARIA FLORESTAL
694|FÍSICA
695|MEDICINA VETERINÁRIA
696|MATEMÁTICA
697|PEDAGOGIA
698|NUTRIÇÃO
699|COOPERATIVISMO
700|QUÍMICA
701|ZOOTECNIA
703|CIÊNCIA DA COMPUTAÇÃO
704|ARQUITETURA E URBANISMO
705|DIREITO
18856|CIÊNCIA E TECNOLOGIA DE LATICÍNIOS
18860|SECRETARIADO EXECUTIVO
21585|ENGENHARIA DE PRODUÇÃO
21586|CIÊNCIAS CONTÁBEIS
21587|ENGENHARIA AMBIENTAL
21972|AGRONEGÓCIO
27490|LETRAS - PORTUGUÊS E FRANCÊS
32834|LETRAS - PORTUGUÊS E INGLÊS
32836|LETRAS - LÍNGUA PORTUGUESA
39024|HISTÓRIA
39087|ENGENHARIA ELÉTRICA
39114|BIOQUÍMICA
39274|EDUCAÇÃO INFANTIL
43869|GEOGRAFIA
43916|COMUNICAÇÃO SOCIAL - JORNALISMO
55094|DANÇA
55452|ENGENHARIA AGRÍCOLA E AMBIENTAL
109826|ENGENHARIA MECÂNICA
109828|ENGENHARIA QUÍMICA
111120|ADMINISTRAÇÃO
111128|AGRONOMIA
112074|GESTÃO AMBIENTAL
117492|CIÊNCIAS SOCIAIS
118058|CIÊNCIA E TECNOLOGIA DE ALIMENTOS
