CO_IES|SG_IES|CO_UF
1585||42
4256||31
22104|FIP GUANAMBI|29
1590|ESTÁCIO SÃO LUÍS|21
1591|ESTÁCIO MACAPÁ|16
1592|FOM|13
3613|IESGO|52
1596|UNIVES|32
1597|CESSF|21
1598||31
15452|UNA|31
1599|UNIPTAN|31
1600|ICS|31
1601|FCC|31
1606|FIC|50
1607|FALSM|43
1609|FCP|22
1610|FAETE|22
1611|FATI|41
1613|IAP|41
1615|ISULPAR|41
1620|FASAR|35
11586||35
1621|NWK|35
1628|FACHA|35
1639|FHR|29
22093|Faculdade AGES|29
1640|UniAGES|29
18296|Faculdade AGES|29
1641|UNISBA|29
1643|FAT|29
1646|FECIPAR|17
1647|FAECE|23
2240|FAFOR|23
12847|FEFB|41
1657||41
1658|UNIGRANDE|23
1660|ESTÁCIO BRASÍLIA|53
1663|FARA|52
1664|FASEH|31
1666||31
1669|IMES|31
1670|IECEMB - FAB|31
1672|IESPES|15
1675|UNESJ|26
1676|UNISÃOMIGUEL|26
1677|FAESPI|22
1679|FACSUL|41
1680|F. UNIRB|24
1682|FSMA|33
1683||22
5520|FACES|14
1690|FSV|35
1693|FAITA|35
1694|ESUCRI|42
21931|Una|52
21932|Una|52
1696|FACEC|52
1697|UNIFACOL|26
5511||41
1699|UNICENTRO|11
18260||21
1702|ESTÁCIO AMAZÔNIA|14
21268||15
18010|ESTÁCIO CUIABÁ|51
1703|IESRIVER|52
4163|UNIBAVE|42
1992|IESP|26
1708|IPESU|26
1706|FACIR|26
1707|FACCOR|26
2242|FAREC|26
2566|IESO|26
1712|FACET|22
1713|FATEF|35
1790|FASB|29
1717|Facimp Wyden|21
1718|FAN|29
1720|FAMIG|31
1721|FDV|31
19943|SAPIENS|11
1723||35
4943||35
1725|FAQ|35
1726|SECAL|41
1727|FAC DE CARIACICA|32
1515|UNIRON|11
1728|UNIRON|11
1733|ISEPE  RONDON|41
2312|FALURB|41
1735|UNILEÃO|23
1736|UNILASALLE/RJ|33
1739||53
1762||35
1742|CSET DRUMMOND|35
1743|FATEC OSWALDO CRUZ|35
1749|FALUB|26
19838|FALUP|26
1753|FACENE|25
4431|FACENE/RN|24
1995|FAMENE|25
1756|FAB|35
1758|FAINOR|29
1759|FACULDADE BAGOZZI|41
1766|UNICAPE|32
17289||31
1772|UniFanor Wyden|23
1734|Facid Wyden|22
1410|Área1 Wyden|29
1255|UniFBV Wyden|26
1773||42
1632||41
4141||35
3149|FPD|31
1258||41
1777|UNIVINCI|42
1775|UniFavip Wyden|26
1779|AIEC / FAAB|53
1781|INTESP|35
1785|FACIDER|51
1786|IMES|31
1788|FAAL|35
1789|ICES|41
1927|UNIGUAÇU|41
1800||41
1801|DOM BOSCO UBIRATÃ|41
12533||41
2831|DOM BOSCO GOIOERÊ|41
1805|UNIFG|26
14002|FG|26
1806|FAFE|35
1815|FIBRA|52
4867||32
1818|FPAS|31
13684|PIT Contagem|31
11750|-|35
22235||31
22112||23
891||31
5066||31
4865||21
4863||31
